product_id,product_name,category,price,stock
87,"Sticker Pack",Stationery,249.00,300
88,"Algorithm T-Shirt",Clothing,1499.00,60
89,"GitHub Cap",Accessories,799.00,70
90,"Keyboard Mat",Accessories,999.00,90
91,"Linux Hoodie",Clothing,2099.00,35
92,"AI Nerd T-Shirt",Clothing,1599.00,55
93,"Whiteboard Notebook",Stationery,699.00,120
94,"Bug Hunter Mug",Accessories,549.00,100
95,"Terminal Stickers",Stationery,199.00,250
96,"Coder Bottle",Accessories,899.00,110
97,"Late Night Hoodie",Clothing,2199.00,30
98,"Python Socks",Accessories,399.00,140
99,"DSA Flash Cards",Stationery,349.00,180
100,"Clean Code Notebook",Stationery,599.00,130
101,"Python Hoodie",Clothing,1999.00,50
102,"Java Hoodie",Clothing,1899.00,40
103,"Debugging Mug",Accessories,599.00,100
104,"Code Like a Pro Mug",Accessories,649.00,80
105,"DSA Notebook",Stationery,499.00,150
106,"SQL Cheat Sheet",Stationery,299.00,200
107,"Sticker Pack",Stationery,249.00,300
108,"Algorithm T-Shirt",Clothing,1499.00,60
109,"GitHub Cap",Accessories,799.00,70
110,"Keyboard Mat",Accessories,999.00,90
111,"Linux Hoodie",Clothing,2099.00,35
112,"AI Nerd T-Shirt",Clothing,1599.00,55
113,"Whiteboard Notebook",Stationery,699.00,120
114,"Bug Hunter Mug",Accessories,549.00,100
115,"Terminal Stickers",Stationery,199.00,250
116,"Coder Bottle",Accessories,899.00,110
117,"Late Night Hoodie",Clothing,2199.00,30
118,"Python Socks",Accessories,399.00,140
119,"DSA Flash Cards",Stationery,349.00,180
120,"Clean Code Notebook",Stationery,599.00,130
